Fuel,Steam Flow,Steam Temp,MegaWatts,Cool Temp,Pressure
-0.680187542,-0.06007483,1.22351277,-0.219300874,1.094685181,1.220761951
0.029970157,-0.313372131,0.205937793,-0.181859261,1.573609947,1.220761951
0.445551076,-0.274051612,0.545129452,-0.181859261,0.615760414,1.220761951
0.365387558,-0.040414571,1.22351277,-0.144417649,0.136835648,-0.789904792
0.199541521,-0.274051612,0.884321111,-0.144417649,0.136835648,1.220761951
0.2539037,-0.254391352,1.22351277,-0.106976036,0.615760414,-0.789904792
-0.437075464,-0.254391352,0.545129452,-0.144417649,0.136835648,1.220761951
-0.728064892,-0.234502484,0.545129452,-0.181859261,-0.821013886,-0.789904792
-0.583053091,-0.254391352,0.545129452,-0.312904906,-1.299938652,-0.789904792
-0.051711086,-0.214842225,1.22351277,-0.294184099,0.136835648,-0.789904792
0.113169126,-0.274051612,0.545129452,-0.181859261,0.136835648,-0.789904792
-0.274402853,-0.274051612,0.545129452,-0.181859261,-0.342089119,-0.789904792
0.528060169,-0.254391352,0.205937793,-0.181859261,-0.821013886,-0.789904792
-0.585398667,-0.293711872,0.884321111,-0.219300874,-1.299938652,-0.789904792
-0.86535009,-0.06007483,-0.133253866,-0.013372005,0.136835648,-0.789904792
0.873963676,1.911666343,-0.811637184,1.914871047,0.136835648,-0.789904792
2.063308803,1.890863045,-1.150828843,1.877429434,1.573609947,-0.789904792
1.872351302,1.995565359,-1.490020502,1.914871047,-0.821013886,-0.789904792
2.069793631,2.229888223,-1.829212161,2.120799917,-2.257788185,-0.789904792
0.795317885,0.194822724,-1.490020502,0.024069608,-0.821013886,-0.789904792
0.162150276,0.542534994,-1.150828843,0.304881703,0.136835648,-0.789904792
0.3009532,0.547564363,-1.829212161,0.435927347,0.615760414,-0.789904792
-2.474139437,-2.671460271,1.22351277,-2.933817791,1.094685181,1.220761951
-1.236503035,-0.658112501,-0.133253866,-0.013372005,0.615760414,1.220761951
-0.839134826,-0.68280213,-1.150828843,-0.762204258,-0.342089119,1.220761951
-0.354842321,-0.66314187,-0.133253866,-0.79964587,-1.299938652,1.220761951
0.250730273,-0.66314187,-0.472445525,-0.631158613,-0.821013886,1.220761951
-1.214289048,-0.64348161,0.205937793,-0.762204258,2.052534714,1.220761951
