LYS,ARG,ASP,SER,GLU,PRO,GLY,ALA,VAL,PHA,GABA
0.48,5.81,2.12,4.68,0.78,12.41,0.31,0.96,0.18,0.2,4.73
0.47,5.25,2.75,4.42,0.88,14.72,0.3,1.04,0.19,0.22,3.96
0.42,4.98,2.79,3.85,0.75,12.13,0.32,0.99,0.15,0.2,3.94
0.35,4.79,2.79,3.39,0.81,12.77,0.25,0.75,0.16,0.15,3.69
0.43,4.92,2.88,3.53,0.78,13.11,0.25,0.91,0.16,0.15,4.23
0.4,5.61,2.26,3.39,0.69,12.69,0.2,1.06,0.16,0.18,3.76
0.35,4.54,2.96,3.89,0.88,14.01,0.24,0.86,0.16,0.12,3.92
0.34,3.82,2.86,3.63,0.86,15.73,0.22,1.34,0.14,0.12,2.88
0.27,3.42,2.27,4.81,0.9,8.99,0.23,1.43,0.1,0.1,2.68
0.39,3.6,2.99,5.03,0.92,13.71,0.28,1.99,0.13,0.1,2.88
0.37,3.39,2.78,5.96,0.84,12.92,0.24,1.76,0.12,0.14,3.01
0.26,2.72,3.82,6.03,1.17,7.18,0.15,1.3,0.11,0.07,3.4
0.24,3.13,3.35,5.76,0.96,6.75,0.21,1.14,0.11,0.08,2.43
0.2,2.15,3.28,5.8,1.04,5.34,0.22,1.06,0.12,0.08,2.41
0.26,2.89,3.67,6.34,1.22,5.87,0.18,1.1,0.14,0.12,2.4
0.52,5.53,2.97,3.37,0.78,10.74,0.24,0.96,0.1,0.16,3.4
0.42,5.07,3.06,4.32,0.91,15.37,0.47,1.32,0.16,0.2,3.63
0.45,5.46,3.06,4.68,0.84,16.52,0.39,1.35,0.14,0.18,3.89
0.47,5.79,2.91,4.44,0.8,16.21,0.35,1.2,0.2,0.18,4.52
0.44,2.52,2.4,4.09,0.72,12.81,0.28,0.86,0.18,0.23,4.43
0.48,5.14,2.66,4.04,0.94,16.77,0.33,0.97,0.22,0.23,4.9
0.49,4.77,2.42,5.92,1,15.62,0.34,1.93,0.5,0.15,4.05
0.37,4.35,3.04,5.07,0.87,15.81,0.31,2.08,0.19,0.1,4.17
0.36,4.01,2.37,3.93,0.76,11.28,0.22,0.75,0.12,0.12,3.27
0.46,4.26,2.51,7.29,1.07,18.57,0.37,2.67,0.19,0.1,2.95
0.34,3.46,2.2,3.8,0.93,11.73,0.26,1.4,0.18,0.1,3.06
0.34,4.13,2.72,6.01,0.95,13.96,0.34,2.3,0.1,0.08,3.06
0.31,3.7,2.77,5.29,0.85,10.8,0.22,1.68,0.1,0.01,2.61
0.3,3.18,2.54,5.04,0.95,11.25,0.21,1.84,0.1,0.01,2.48
0.3,3.57,2.45,5.7,1.06,12.28,0.26,1.53,0.1,0.1,2.46
0.3,3.31,2.53,5.21,0.88,9.1,0.23,1.37,0.08,0.01,2.55
0.3,3.13,2.82,5.85,1,10.31,0.21,1.55,0.1,0.08,2.69
0.33,3.1,3.01,7.15,1.04,12.71,0.23,1.79,0.09,0.1,3.52
0.32,3.84,3.79,6.08,1.01,10.13,0.18,1.3,0.09,0.01,3.67
0.3,3.75,2.83,6.24,0.71,6.2,0.16,1.2,0.05,0.08,3.01
0.26,3.34,3.46,7.01,1.02,6.68,0.2,1.52,0.1,0.08,2.18
