3.46792	-0.4184	0.14956
2.6878	0.03638	-0.90243
2.22352	-0.96181	-0.50653
1.22042	-1.66639	-0.31477
1.93336	-1.25065	-0.46865
2.14273	-1.88236	0.88772
0.78093	-0.97976	-0.59153
-0.13922	-0.53418	0.45371
-1.8084	-0.85716	1.44499
-0.78023	1.2457	0.44562
-0.89167	0.61274	0.53181
-3.91192	-0.39028	-2.08062
-3.36732	-1.07574	-0.71212
-4.12941	-1.0816	-0.76328
-3.98326	-0.43421	-2.2158
1.69646	-1.67391	-0.48341
2.53893	1.38633	-1.20462
2.55311	1.06623	-0.94857
3.41195	0.643	-0.88495
1.98358	-1.09254	0.1467
3.79083	0.53323	-1.22438
3.0921	3.60501	0.13136
0.75395	1.86733	0.07075
0.23564	-2.00509	0.89554
0.23232	4.82085	1.02485
-0.23225	-0.27314	1.44185
-0.92849	2.3154	0.93185
-2.27088	-0.07306	1.37107
-2.66321	0.28243	1.7855
-1.85711	0.66043	0.7748
-2.54427	-0.64998	1.53438
-2.5779	0.11942	0.39186
-2.13457	1.48178	-0.33248
-2.71887	-0.10865	-1.46873
-2.49429	-1.91268	0.63664
-4.00086	-0.02451	-0.85814
2.51508	-0.909	-0.07053
2.06417	-1.73098	0.5804
2.29071	0.4324	-1.18887
0.64918	-0.1571	2.289
0.87162	1.28944	1.38101
-1.74798	0.12536	0.74157
-3.14314	2.51097	-1.49619
-2.9219	-2.19461	-0.32629
1.08557	-2.62926	0.69015
-0.5061	0.81301	1.16942
-0.96837	1.2288	0.1489
2.54391	-0.00787	-0.44381
3.52917	0.75169	-1.82768
2.80737	-0.75255	-0.81444
0.97592	-2.10716	0.147
0.50745	-0.93399	-0.25876
0.79964	2.16618	1.02571
-1.72357	-0.30998	-1.87982
-2.71192	0.97669	-1.57141
1.75972	-2.40465	0.87975
0.13202	0.46315	1.32094
-0.11994	2.04935	0.41441
