3.46792	-0.4184
2.6878	0.03638
2.22352	-0.96181
1.22042	-1.66639
1.93336	-1.25065
2.14273	-1.88236
0.78093	-0.97976
-0.13922	-0.53418
-1.8084	-0.85716
-0.78023	1.2457
-0.89167	0.61274
-3.91192	-0.39028
-3.36732	-1.07574
-4.12941	-1.0816
-3.98326	-0.43421
1.69646	-1.67391
2.53893	1.38633
2.55311	1.06623
3.41195	0.643
1.98358	-1.09254
3.79083	0.53323
3.0921	3.60501
0.75395	1.86733
0.23564	-2.00509
0.23232	4.82085
-0.23225	-0.27314
-0.92849	2.3154
-2.27088	-0.07306
-2.66321	0.28243
-1.85711	0.66043
-2.54427	-0.64998
-2.5779	0.11942
-2.13457	1.48178
-2.71887	-0.10865
-2.49429	-1.91268
-4.00086	-0.02451
2.51508	-0.909
2.06417	-1.73098
2.29071	0.4324
0.64918	-0.1571
0.87162	1.28944
-1.74798	0.12536
-3.14314	2.51097
-2.9219	-2.19461
1.08557	-2.62926
-0.5061	0.81301
-0.96837	1.2288
2.54391	-0.00787
3.52917	0.75169
2.80737	-0.75255
0.97592	-2.10716
0.50745	-0.93399
0.79964	2.16618
-1.72357	-0.30998
-2.71192	0.97669
1.75972	-2.40465
0.13202	0.46315
-0.11994	2.04935
